Gene,logFC,t_stat,p_value,q_value
1555194_at,,0.0,1.0,1.0
1555201_a_at,,0.0,1.0,1.0
1555202_a_at,,0.0,1.0,1.0
1555203_s_at,,0.0,1.0,1.0
1555214_a_at,,0.0,1.0,1.0
1555216_a_at,,0.0,1.0,1.0
1555222_a_at,,0.0,1.0,1.0
1555225_at,,0.0,1.0,1.0
1555226_s_at,,0.0,1.0,1.0
1555229_a_at,,0.0,1.0,1.0
1555240_s_at,,0.0,1.0,1.0
1555241_at,,0.0,1.0,1.0
1555243_x_at,,0.0,1.0,1.0
1555247_a_at,,0.0,1.0,1.0
1555250_a_at,,0.0,1.0,1.0
1555259_at,,0.0,1.0,1.0
1555269_a_at,,0.0,1.0,1.0
1555270_a_at,,0.0,1.0,1.0
1555272_at,,0.0,1.0,1.0
1555274_a_at,,0.0,1.0,1.0
1555278_a_at,,0.0,1.0,1.0
1555279_at,,0.0,1.0,1.0
1555281_x_at,,0.0,1.0,1.0
1555288_s_at,,0.0,1.0,1.0
1555294_a_at,,0.0,1.0,1.0
1555303_at,,0.0,1.0,1.0
1555310_a_at,,0.0,1.0,1.0
1555311_at,,0.0,1.0,1.0
1555323_at,,0.0,1.0,1.0
1555325_s_at,,0.0,1.0,1.0
1555326_a_at,,0.0,1.0,1.0
1555334_s_at,,0.0,1.0,1.0
1555337_a_at,,0.0,1.0,1.0
1555347_at,,0.0,1.0,1.0
1555349_a_at,,0.0,1.0,1.0
1555355_a_at,,0.0,1.0,1.0
1555358_a_at,,0.0,1.0,1.0
1555360_a_at,,0.0,1.0,1.0
1555363_s_at,,0.0,1.0,1.0
1555370_a_at,,0.0,1.0,1.0
1555372_at,,0.0,1.0,1.0
1555373_at,,0.0,1.0,1.0
